run,arch,n_days,IC,RankIC,ICIR,RMSE,R2,R2_zero,Sharpe,hit_rate,ann_return
20260719_0009_opt_p63_meig5e4_s7,meig,246,0.01463905632518489,0.027584204413472705,0.03514299185839491,0.02250301664443556,-0.041326674605664415,-0.03954379836528821,-0.7449288972210346,0.5284552845528455,-0.22103049282393486
20260718_2356_opt_p61_hgt_s7,hgt,246,0.013525463300752575,-0.009291521486643434,0.03517460310534963,0.022128050122244725,-0.006912665225960346,-0.005188709899794253,-0.46161772008729035,0.4878048780487805,-0.1347517488955901
20260608_2234_opt_p1_loss_reweight,?,246,0.013438730442002994,-0.004790940766550527,0.03584182451769664,0.02208756589261581,-0.0032316546083221986,-0.0015140016141050872,-2.164998623387614,0.45528455284552843,-0.6135458608368053
20260720_0030_opt_p69_rep_s42_c,magnet,246,0.013131194703737657,-0.019454123112659698,0.03349846573864421,0.022312796247893073,-0.02379619202431682,-0.02204333007401771,-0.9949704235777301,0.45121951219512196,-0.26806243186498546
20260607_1634_full,?,246,0.010954256526350147,-0.0023228803716608603,0.02626738984087085,0.022546804128196683,-0.04538314739757632,-0.04359332598894827,-1.1633273095511034,0.4634146341463415,-0.29005320513019034
20260710_2135_opt_p27_hgt_lr5e4_pat20,hgt,246,0.010655017609371351,-0.0078397212543554,0.026007167292557337,0.022580669884840854,-0.04852587918768325,-0.04673067704505951,-0.9422299599075505,0.4796747967479675,-0.27190304621940503
20260717_1535_opt_p43_ma_lr1e3_s42,magnet,246,0.009430156684770851,0.03150406504065041,0.02251758254237337,0.02206587426657196,-0.0012621265779944046,0.00045215434786438635,-0.785468260168908,0.508130081300813,-0.2268911169660174
20260607_1631_sanity,?,246,0.009228156643512982,0.0001451800232288005,0.020994600877276014,0.024534213632705807,-0.2377980545561471,-0.23567879573404138,-0.59948605530703,0.483739837398374,-0.1896061810761374
20260718_2346_opt_p55_advalstm_s7,adv_alstm,246,0.007228539129612135,0.0033391405342624862,0.018165249166886475,0.02206547672017445,-0.001226048735721852,0.00048817042054127846,-0.6674355235060339,0.5487804878048781,-0.2004150404770878
20260715_1801_opt_p42_wind_seed123,magnet_weak_industry,246,0.003986049909106497,-0.001596980255516838,0.00982017300300121,0.022205861226543364,-0.01400653379719996,-0.012270432916678509,-1.3462033368509567,0.4796747967479675,-0.3993325190584561
20260717_1604_opt_p45_ma_lr1e3_s123,magnet,246,0.0030481556879181824,0.013356562137049938,0.007827560678967047,0.023582561831121465,-0.14363509495802895,-0.141677054423599,0.33961980977702283,0.516260162601626,0.09830126153566414
20260623_1631_opt_p19_ablation_no_a12,magnet_no_a12,246,0.002569869657899654,0.028890824622531935,0.006404004057447898,0.022064357248579816,-0.0011244587539520623,0.000589586468069947,-0.3749914258816691,0.508130081300813,-0.10621255698682099
20260715_1424_opt_p36_magnet_weak_industry,magnet_weak_industry,246,0.001992855239995368,0.015969802555168406,0.0049604433114488035,0.024880079417864485,-0.2729432286159812,-0.27076379703798326,0.8441532415745442,0.508130081300813,0.23582392956539014
20260623_1628_opt_p18_baseline_tw_gnn,baseline_tw_gnn,246,0.0017943096251588253,0.003919860627177699,0.004322720912810002,0.02426365314537649,-0.21064799915539334,-0.20857522448651178,-0.7299984577578456,0.5040650406504065,-0.19421458170499373
20260718_2354_opt_p59_dl5e4_s7,delta_lag,246,0.0012185319047311122,0.006097560975609755,0.002873659004759071,0.02282585455384679,-0.07141963690716535,-0.06958523790376159,-0.9159306252624525,0.4796747967479675,-0.2786319773933826
20260621_1502_opt_p16_sched_icir,?,246,-0.0011873374878262758,0.009581881533101041,-0.002950616442955613,0.022437635014460076,-0.03528439776480452,-0.0335118666275358,-0.5191131687552313,0.47560975609756095,-0.14382485871021533
20260715_1509_opt_p39_wfree_seed7,magnet_weak_free,246,-0.0022335431005213752,0.01495354239256678,-0.005563293681164649,0.02279557816890578,-0.06857924380754654,-0.06674970789801549,1.6703672385259647,0.532520325203252,0.4650981236169696
20260712_1606_opt_p31_meig,meig,246,-0.0023192303718677925,0.009727061556329847,-0.005845698897701605,0.02229465210657576,-0.022131824198801553,-0.020381811845966658,-0.04826540661655855,0.5,-0.014039912914129784
20260712_1607_opt_p32_meig_lr1e3_pat20,meig,246,-0.0023192303718677925,0.009727061556329847,-0.005845698897701605,0.02229465210657576,-0.022131824198801553,-0.020381811845966658,-0.04826540661655855,0.5,-0.014039912914129784
20260719_0010_opt_p64_meig5e4_s123,meig,246,-0.0035220358115341903,-0.0010162601626016224,-0.00795333493976753,0.022418961355457515,-0.033561889748906504,-0.031792307752085636,-1.1217461408577842,0.4959349593495935,-0.362556889667403
20260623_1627_opt_p17_baseline_lstm,baseline_lstm,246,-0.0044574730807703895,-0.03716608594657376,-0.011284222315703406,0.024312953003354076,-0.2155726829211515,-0.21349147660263368,-1.8221885627168057,0.47560975609756095,-0.5258673564644477
20260715_1500_opt_p38_magnet_seed123,magnet,246,-0.005374946398916954,0.017421602787456445,-0.01275747607826985,0.022164103271350485,-0.010196456243680263,-0.008466878673191847,-1.708319868509114,0.5121951219512195,-0.5161736893308603
20260718_0034_opt_p52_noa12_lr5e4_s42,magnet_no_a12,246,-0.00624776374701086,-0.0029036004645760756,-0.014597403036842918,0.022069749831731614,-0.0016138731111965399,0.0001010100469414077,-0.8739025718971137,0.5040650406504065,-0.27108889603533076
20260621_1453_opt_p15_icir,?,246,-0.009985949742827798,-0.012340301974448312,-0.024776321243769505,0.02212234875599677,-0.0063938632269480156,-0.004670796152067558,-1.9055561551191862,0.47560975609756095,-0.5684312672819944
20260715_1756_opt_p41_wind_seed7,magnet_weak_industry,246,-0.0114202291614479,0.010888501742160276,-0.030651728564179602,0.02462144714206423,-0.2466158981918698,-0.24448154216319784,0.04621932231489292,0.45934959349593496,0.012578279841917839
20260620_1737_opt_p8_var_02,?,246,-0.015344725286175486,-0.02409988385598141,-0.0387802738754404,0.022347673745670153,-0.026999318738190503,-0.02524097265053804,-1.9907484935332367,0.46747967479674796,-0.6408668305418206
20260620_1742_opt_p9_var_05,?,246,-0.024616462325574035,-0.02497096399535425,-0.05929440973738526,0.022990649977624462,-0.08694610269674685,-0.0850851205205232,-1.815877557793628,0.45528455284552843,-0.5487775148698917
20260620_1732_opt_p7_var_005,?,246,-0.028415639349548404,-0.01713124274099884,-0.07188435663695397,0.023486232265344593,-0.13431118254831742,-0.13236910567092997,-1.4786837070789054,0.4634146341463415,-0.4136995935823942
20260718_0010_opt_p51_ma_lr5e4_s123,magnet,246,-0.03095194038349596,-0.04282810685249709,-0.07834005470907737,0.022116161203085537,-0.005830971420618614,-0.004108868084065298,-2.2701540590561304,0.45121951219512196,-0.6589670185647081
20260717_2359_opt_p50_ma_lr5e4_s7,magnet,246,-0.046996278227183205,-0.04573170731707317,-0.1280664141914202,0.022104750666280447,-0.004793349159394111,-0.0030730223566810544,-2.7010421454787035,0.4715447154471545,-0.7528442060660064
ZERO_PREDICTOR,-,246,,0.008420441347270609,,0.022070864549413833,-0.0017150563960650622,0.0,-0.9319138837821986,0.508130081300813,-0.25511960095794173
